price,address,squares,type,year,bed,bath,tax
"CA$996,900","6576 Marlborough Avenue #2008, Burnaby, BC",781 sq.ft. Home,"Residential, Condo",2027,2,2,NA
"CA$698,000","511 Rochester Avenue #1707, Coquitlam, BC",974 sq.ft. Home,"Residential, Condo",2007,2,2,NA
"CA$809,000","9533 130a Street #37, Surrey, BC","1,315 sq.ft. Home","Residential, Condo",2011,2,2+1,NA
"CA$849,900","12711 64 Avenue #127, Surrey, BC","1,533 sq.ft. Home","Residential, Condo",2004,3,2,NA
"CA$599,000","1177 Hornby Street #709, Vancouver, BC",635 sq.ft. Home,"Residential, Condo",1994,1,1,NA
"CA$898,000","3300 Ketcheson Road #927, Richmond, BC",826 sq.ft. Home,"Residential, Condo",2020,2,2,NA
"CA$828,800","9298 University Crescent #005, Burnaby, BC","1,116 sq.ft. Home","Residential, Condo",2004,3,2,NA
"CA$787,488","188 Agnes Street #904, New Westminster, BC",895 sq.ft. Home,"Residential, Condo",2017,2,2,NA
"CA$998,000","5725 Agronomy Road #312, Vancouver, BC",971 sq.ft. Home,"Residential, Condo",2006,2,2,NA
"CA$938,000","2085 Skyline Court #305, Burnaby, BC",795 sq.ft. Home,"Residential, Condo",2021,2,2,NA
"CA$680,000","13387 Old Yale Road #904, Surrey, BC",731 sq.ft. Home,"Residential, Condo",9999,2,NA,NA
"CA$719,900","14921 Thrift Avenue #1, White Rock, BC","1,185 sq.ft. Home","Residential, Condo",2004,NA,2+1,NA
"CA$899,900","3300 Ketcheson Road #1010, Richmond, BC",857 sq.ft. Home,"Residential, Condo",2020,2,2,NA
"CA$899,000","8068 207 Street #124, Langley, BC","1,740 sq.ft. Home","Residential, Condo",2014,4,3+1,NA
"CA$999,000","10795 No. 2 Road #9, Richmond, BC","1,318 sq.ft. Home","Residential, Condo",1994,3,2+1,NA
"CA$599,999","8380 200a Street #504, Langley, BC",777 sq.ft. Home,"Residential, Condo",2023,2,2,NA
"CA$729,900","3528 146a Street #517, Surrey, BC",868 sq.ft. Home,"Residential, Condo",2024,2,1,NA
"CA$549,000","13353 108 Avenue #1007, Surrey, BC",846 sq.ft. Home,"Residential, Condo",1994,1,1+1,NA
"CA$675,000","3075 Trethewey Street #14, Abbotsford, BC","1,224 sq.ft. Home","Residential, Condo",1977,3,1+1,NA
"CA$699,000","610 Granville Street #2302, Vancouver, BC",581 sq.ft. Home,"Residential, Condo",2006,1,1,NA
"CA$749,000","2982 Burlington Drive #702, Coquitlam, BC",765 sq.ft. Home,"Residential, Condo",2009,2,1,NA
"CA$755,000","4888 Brentwood Drive #1904, Burnaby, BC",826 sq.ft. Home,"Residential, Condo",2008,2,2,NA
"CA$924,000","30530 Cardinal Avenue #31, Abbotsford, BC","1,549 sq.ft. Home","Residential, Condo",2024,4,3+1,NA
"CA$579,000","2245 Wilson Avenue #203, Port Coquitlam, BC",934 sq.ft. Home,"Residential, Condo",1982,2,1,NA
"CA$718,000","1661 Fraser Avenue #312, Port Coquitlam, BC","1,070 sq.ft. Home","Residential, Condo",2007,2,2,NA
"CA$468,500","5765 Glover Road #207, Langley, BC",852 sq.ft. Home,"Residential, Condo",1995,2,1,NA
"CA$723,900","305 7728 Park Crescent, Burnaby, BC",613 sq.ft. Home,"Residential, Condo",2025,1,1,NA
"CA$899,000","5725 Agronomy Road #107, Vancouver, BC",888 sq.ft. Home,"Residential, Condo",2006,2,2,NA
"CA$598,000","108 Cordova Street W #1202, Vancouver, BC",633 sq.ft. Home,"Residential, Condo",2009,1,1,NA
"CA$635,000","5311 Goring Street #1307, Burnaby, BC",579 sq.ft. Home,"Residential, Condo",2021,1,1,NA
"CA$739,513","13495 Central Avenue #2808, Surrey, BC",865 sq.ft. Home,"Residential, Condo",2018,2,2,NA
"CA$725,000","3615 17th Avenue W #304, Vancouver, BC",903 sq.ft. Home,"Residential, Condo",1995,1,1,NA
"CA$999,000","3478 Wesbrook Mall #212, Vancouver, BC",855 sq.ft. Home,"Residential, Condo",2011,2,2,NA
"CA$699,900","728 Princess Street #703, New Westminster, BC","1,221 sq.ft. Home","Residential, Condo",1994,2,2,NA
"CA$649,800","8360 Delsom Way #409, Delta, BC",775 sq.ft. Home,"Residential, Condo",2019,1,1,NA
"CA$649,000","15168 19 Avenue #302, Surrey, BC",867 sq.ft. Home,"Residential, Condo",2009,2,2,NA
"CA$459,000","5294 204 Street #116, Langley, BC",662 sq.ft. Home,"Residential, Condo",1982,1,1,NA
"CA$666,666","5555 Dunbar Street #205, Vancouver, BC",593 sq.ft. Home,"Residential, Condo",2015,1,1,NA
"CA$894,400","3430 Kent Avenue South E #408, Vancouver, BC",893 sq.ft. Home,"Residential, Condo",2024,2,2,NA
"CA$499,999","12739 72 Avenue #207, Surrey, BC",722 sq.ft. Home,"Residential, Condo",1996,1,1,NA
"CA$570,000","13380 108 Avenue #1908, Surrey, BC",774 sq.ft. Home,"Residential, Condo",2010,2,2,NA
"CA$849,900","6811 Pearson Way #306, Richmond, BC",614 sq.ft. Home,"Residential, Condo",2023,1,1,NA
"CA$729,000","7168 Stride Avenue #204, Burnaby, BC",883 sq.ft. Home,"Residential, Condo",2013,2,2,NA
"CA$688,000","1331 Alberni Street #1601, Vancouver, BC",592 sq.ft. Home,"Residential, Condo",1999,1,1,NA
"CA$939,000","1208 Village Green Way, Squamish, BC","1,230 sq.ft. Home","Residential, Condo",2007,2,2,NA
"CA$729,900","9868 Cameron Street #1908, Burnaby, BC",956 sq.ft. Home,"Residential, Condo",2009,2,2,NA
"CA$999,000","7311 Minoru Boulevard #15, Richmond, BC","2,051 sq.ft. Home","Residential, Condo",1988,4,3+1,NA
"CA$849,000","1838 Nelson Street #1004, Vancouver, BC",698 sq.ft. Home,"Residential, Condo",1989,1,1,NA
"CA$679,000","318 Alderson Avenue #3105, Coquitlam, BC",522 sq.ft. Home,"Residential, Condo",2024,1,1,NA
"CA$874,880","14450 68 Avenue #6, Surrey, BC","1,475 sq.ft. Home","Residential, Condo",2016,3,2+1,NA
"CA$759,000","7088 Salisbury Avenue #1605, Burnaby, BC",885 sq.ft. Home,"Residential, Condo",2008,2,2,NA
"CA$838,000","22600 Gilley Road #22, Richmond, BC","1,359 sq.ft. Home","Residential, Condo",2020,3,3,NA
"CA$629,000","10780 No. 5 Road #206, Richmond, BC",600 sq.ft. Home,"Residential, Condo",2018,1,1,NA
"CA$899,900","6463 Silver Avenue #1502, Burnaby, BC",756 sq.ft. Home,"Residential, Condo",2022,2,2,NA
"CA$715,000","7303 Noble Lane #2405, Burnaby, BC",645 sq.ft. Home,"Residential, Condo",2019,1,1,NA
"CA$749,900","22900 126 Avenue #36, Maple Ridge, BC","1,361 sq.ft. Home","Residential, Condo",1990,3,2,NA
"CA$699,000","89 Nelson Street #2313, Vancouver, BC",517 sq.ft. Home,"Residential, Condo",2019,1,1,NA
"CA$655,000","3233 Ketcheson Road #1708, Richmond, BC",538 sq.ft. Home,"Residential, Condo",2017,1,1,NA
"CA$949,999","7937 206 Street #32, Langley, BC","1,303 sq.ft. Home","Residential, Condo",2023,3,2+1,NA
"CA$998,800","19897 75a Avenue #9, Langley, BC","1,475 sq.ft. Home","Residential, Condo",2022,4,2+1,NA
"CA$559,800","6440 197 Street #304, Langley, BC","1,122 sq.ft. Home","Residential, Condo",1992,2,2,NA
"CA$488,800","13775 74 Avenue #309, Surrey, BC",953 sq.ft. Home,"Residential, Condo",1985,2,1,NA
"CA$559,000","1570 Prairie Avenue #203, Port Coquitlam, BC",929 sq.ft. Home,"Residential, Condo",1996,2,2,NA
"CA$699,900","1372 Seymour Street #2507, Vancouver, BC",459 sq.ft. Home,"Residential, Condo",2013,1,1,NA
"CA$674,900","318 Alderson Avenue #2706, Coquitlam, BC",522 sq.ft. Home,"Residential, Condo",2024,1,1,NA
"CA$749,900","1178 Heffley Crescent #711, Coquitlam, BC","1,009 sq.ft. Home","Residential, Condo",2008,2,2,NA
"CA$649,000","4730 Lougheed Highway #2710, Burnaby, BC",514 sq.ft. Home,"Residential, Condo",2023,1,1,NA
"CA$788,900","2736 Atlin Place #32, Coquitlam, BC","1,405 sq.ft. Home","Residential, Condo",1987,3,2,NA
"CA$769,900","19979 76 Avenue #309, Langley, BC",942 sq.ft. Home,"Residential, Condo",2025,2,2,NA
"CA$574,900","10188 155 Street #312, Surrey, BC",901 sq.ft. Home,"Residential, Condo",1997,2,2,NA
"CA$799,000","9233 Odlin Road #324, Richmond, BC",868 sq.ft. Home,"Residential, Condo",2020,2,2,NA
"CA$899,000","10581 140 Street #TH1, Surrey, BC","1,904 sq.ft. Home","Residential, Condo",2019,4,3,NA
"CA$719,000","13387 Old Yale Road #1702, Surrey, BC",772 sq.ft. Home,"Residential, Condo",2024,2,2,NA
"CA$729,000","5665 Irmin Street #218, Burnaby, BC",813 sq.ft. Home,"Residential, Condo",2010,2,2,NA
"CA$631,990","645 Como Lake Avenue #305, Coquitlam, BC",614 sq.ft. Home,"Residential, Condo",2023,1,1,NA
"CA$798,000","1331 Georgia Street W #2703, Vancouver, BC",556 sq.ft. Home,"Residential, Condo",1998,1,1,NA
"CA$789,000","555 Austin Avenue #1501, Coquitlam, BC","1,228 sq.ft. Home","Residential, Condo",1990,2,2,NA
"CA$499,900","1850 Southmere Crescent E #214, Surrey, BC",891 sq.ft. Home,"Residential, Condo",1982,2,1,NA
"CA$828,000","8189 Cambie Street #1402, Vancouver, BC",655 sq.ft. Home,"Residential, Condo",2018,2,2,NA
"CA$689,900","5168 Cambie Street #114, Vancouver, BC",465 sq.ft. Home,"Residential, Condo",2024,NA,1,NA
"CA$698,000","4723 Dawson Street #410, Burnaby, BC",842 sq.ft. Home,"Residential, Condo",2007,2,2,NA
"CA$999,000","10595 Delsom Crescent #3, Delta, BC","2,101 sq.ft. Home","Residential, Condo",2013,4,3+1,NA
"CA$848,000","6288 Cassie Avenue #604, Burnaby, BC",800 sq.ft. Home,"Residential, Condo",2020,2,2,NA
"CA$639,000","4950 Mcgeer Street #307, Vancouver, BC",753 sq.ft. Home,"Residential, Condo",1993,2,1,NA
"CA$829,900","308 Alderson Avenue #1604, Coquitlam, BC",825 sq.ft. Home,"Residential, Condo",2024,2,2,NA
"CA$879,900","1238 Melville Street #1205, Vancouver, BC",896 sq.ft. Home,"Residential, Condo",1995,2,2,NA
"CA$875,000","1677 Lloyd Avenue #203, North Vancouver, BC",821 sq.ft. Home,"Residential, Condo",2011,2,2,NA
"CA$699,900","4730 Lougheed Highway #4806, Burnaby, BC",535 sq.ft. Home,"Residential, Condo",2023,1,1,NA
"CA$549,000","2025 Stephens Street #201, Vancouver, BC",497 sq.ft. Home,"Residential, Condo",1996,1,1,NA
"CA$598,000","318 Alderson Avenue #1501, Coquitlam, BC",550 sq.ft. Home,"Residential, Condo",2024,1,1,NA
"CA$484,000","2233 Mckenzie Road #301, Abbotsford, BC",960 sq.ft. Home,"Residential, Condo",2009,2,2,NA
"CA$999,800","80 Elgin Street #217, Port Moody, BC","1,271 sq.ft. Home","Residential, Condo",2021,3,2+1,NA
"CA$668,000","8800 Hazelbridge Way #1603, Richmond, BC",566 sq.ft. Home,"Residential, Condo",2020,1,1,NA
"CA$920,000","180 2nd Avenue E #624, Vancouver, BC",668 sq.ft. Home,"Residential, Condo",2021,2,1,NA
"CA$499,000","32085 George Ferguson Way #415, Abbotsford, BC","1,010 sq.ft. Home","Residential, Condo",1996,2,2,NA
"CA$810,000","1618 Quebec Street #915, Vancouver, BC",670 sq.ft. Home,"Residential, Condo",2014,1,1,NA
"CA$795,800","888 Pacific Street #809, Vancouver, BC",772 sq.ft. Home,"Residential, Condo",1994,1,1,NA
"CA$549,900","2990 Boulder Street #406, Abbotsford, BC","1,070 sq.ft. Home","Residential, Condo",2007,2,2,NA
"CA$479,900","19750 64 Avenue #312, Langley, BC",774 sq.ft. Home,"Residential, Condo",1996,1,1,NA
"CA$473,900","15120 108 Avenue #303, Surrey, BC",720 sq.ft. Home,"Residential, Condo",1994,1,1,NA
"CA$544,900","20834 80 Avenue #A311, Langley, BC",671 sq.ft. Home,"Residential, Condo",2023,1,1,NA
"CA$578,000","668 Citadel Parade #1006, Vancouver, BC",554 sq.ft. Home,"Residential, Condo",2007,1,1,NA
"CA$800,000","200 Newport Drive #505, Port Moody, BC","1,067 sq.ft. Home","Residential, Condo",1996,2,2,NA
"CA$898,000","400 Capilano Road #2206, Port Moody, BC","1,091 sq.ft. Home","Residential, Condo",2008,2,2,NA
"CA$808,000","4250 Dawson Street #2003, Burnaby, BC",874 sq.ft. Home,"Residential, Condo",2008,2,2,NA
"CA$639,000","8180 Colonial Drive #211, Richmond, BC","1,116 sq.ft. Home","Residential, Condo",1980,3,1,NA
"CA$749,999","8850 University Crescent #511, Burnaby, BC",820 sq.ft. Home,"Residential, Condo",2019,2,2,NA
"CA$499,900","5811 177b Street #303, Surrey, BC",637 sq.ft. Home,"Residential, Condo",2013,1,1,NA
"CA$769,000","707 43rd Avenue E #301, Vancouver, BC",879 sq.ft. Home,"Residential, Condo",2015,2,2,NA
"CA$789,000","1010 Burnaby Street #1702, Vancouver, BC",758 sq.ft. Home,"Residential, Condo",1990,1,1,NA
"CA$589,000","108 Cordova Street W #1907, Vancouver, BC",588 sq.ft. Home,"Residential, Condo",2009,1,1,NA
"CA$535,000","8740 Citation Drive #322, Richmond, BC",880 sq.ft. Home,"Residential, Condo",1980,2,1,NA
"CA$565,000","19730 56 Avenue #411, Langley, BC",875 sq.ft. Home,"Residential, Condo",2007,2,2,NA
"CA$699,000","20282 72b Avenue #114, Langley, BC",780 sq.ft. Home,"Residential, Condo",2024,2,2,NA
"CA$879,900","3009 156 Street #16, Surrey, BC","1,490 sq.ft. Home","Residential, Condo",2011,3,2+1,NA
"CA$868,000","3588 Crowley Drive #1402, Vancouver, BC","1,089 sq.ft. Home","Residential, Condo",2003,3,2,NA
"CA$887,500","33209 Cherry Avenue #18, Mission, BC","2,294 sq.ft. Home","Residential, Condo",2019,4,3+1,NA
"CA$965,000","4132 Halifax Street #2603, Burnaby, BC","1,076 sq.ft. Home","Residential, Condo",2005,2,2,NA
"CA$849,900","9283 Government Street #411, Burnaby, BC","1,250 sq.ft. Home","Residential, Condo",2008,3,2,NA
"CA$745,000","6283 Kingsway #PH33, Burnaby, BC",809 sq.ft. Home,"Residential, Condo",2018,2,2,NA
"CA$699,000","1661 Fraser Avenue #209, Port Coquitlam, BC","1,070 sq.ft. Home","Residential, Condo",2007,2,2,NA
"CA$859,900","6735 Station Hill Court #408, Burnaby, BC","1,322 sq.ft. Home","Residential, Condo",1990,2,2,NA
"CA$565,000","13727 74 Avenue #307, Surrey, BC",836 sq.ft. Home,"Residential, Condo",1995,2,2,NA
"CA$669,900","22575 Brown Avenue #102, Maple Ridge, BC",948 sq.ft. Home,"Residential, Condo",2024,2,2,NA
"CA$495,000","13880 101 Avenue #607, Surrey, BC",904 sq.ft. Home,"Residential, Condo",1994,1,1,NA
"CA$888,800","7303 Noble Lane #2802, Burnaby, BC",802 sq.ft. Home,"Residential, Condo",2019,2,2,NA
"CA$891,000","3093 Windsor Gate #1908, Coquitlam, BC","1,076 sq.ft. Home","Residential, Condo",2016,2,2,NA
"CA$509,900","8929 202 Street #C409, Langley, BC",725 sq.ft. Home,"Residential, Condo",2008,1,1,NA
"CA$667,000","8379 201 Street #105, Langley, BC",925 sq.ft. Home,"Residential, Condo",2023,2,2,NA
"CA$599,900","8133 Cook Road #315, Richmond, BC",591 sq.ft. Home,"Residential, Condo",2022,1,1,NA
"CA$719,000","200 Newport Drive #104, Port Moody, BC",937 sq.ft. Home,"Residential, Condo",1996,2,2,NA
"CA$858,000","3488 Sawmill Crescent #703, Vancouver, BC",942 sq.ft. Home,"Residential, Condo",2018,2,2,NA
"CA$759,000","33922 King Road #18, Abbotsford, BC","2,445 sq.ft. Home","Residential, Condo",1989,3,3,NA
"CA$620,000","1026 Queens Street #708, New Westminster, BC",946 sq.ft. Home,"Residential, Condo",1984,2,2,NA
"CA$949,900","10238 155a Street #42, Surrey, BC","2,011 sq.ft. Home","Residential, Condo",1993,4,3+1,NA
"CA$819,900","2186 Gilmore Avenue #1504, Burnaby, BC",762 sq.ft. Home,"Residential, Condo",2024,2,2,NA
"CA$799,000","308 Alderson Avenue #1803, Coquitlam, BC",734 sq.ft. Home,"Residential, Condo",2024,2,2,NA
"CA$899,000","39920 Government Road #29, Squamish, BC","1,150 sq.ft. Home","Residential, Condo",1996,3,1+1,NA
"CA$699,900","18777 68a Avenue #109, Surrey, BC","1,252 sq.ft. Home","Residential, Condo",2008,2,2,NA
"CA$785,000","1680 4th Avenue W #302, Vancouver, BC",667 sq.ft. Home,"Residential, Condo",2009,1,1,NA
"CA$568,000","8133 Cook Road #830, Richmond, BC",455 sq.ft. Home,"Residential, Condo",2022,1,1,NA
"CA$699,900","11588 232 Street #48, Maple Ridge, BC","1,379 sq.ft. Home","Residential, Condo",1992,3,1+1,NA
"CA$849,000","14838 61 Avenue #78, Surrey, BC","1,336 sq.ft. Home","Residential, Condo",2012,3,2,NA
"CA$650,000","9150 University High Street #212, Burnaby, BC",995 sq.ft. Home,"Residential, Condo",2012,2,2,NA
"CA$499,900","318 Alderson Avenue #2903, Coquitlam, BC",370 sq.ft. Home,"Residential, Condo",2024,NA,1,NA
"CA$698,000","1188 Richards Street #1707, Vancouver, BC",648 sq.ft. Home,"Residential, Condo",1995,1,1,NA
"CA$875,000","652 Whiting Way #1907, Coquitlam, BC",970 sq.ft. Home,"Residential, Condo",2020,2,2,NA
"CA$531,000","13387 Old Yale Road #2408, Surrey, BC",520 sq.ft. Home,"Residential, Condo",2024,1,1,NA
"CA$745,000","13387 Old Yale Road #3004, Surrey, BC",754 sq.ft. Home,"Residential, Condo",2024,2,2,NA
"CA$550,000","2393 Ranger Lane #205, Port Coquitlam, BC",630 sq.ft. Home,"Residential, Condo",2018,1,1,NA
"CA$899,900","241 Balmoral Place, Port Moody, BC","1,309 sq.ft. Home","Residential, Condo",1980,3,2,NA
"CA$669,000","3438 Sawmill Crescent #304, Vancouver, BC",652 sq.ft. Home,"Residential, Condo",2022,1,1,NA
"CA$999,990","1877 5th Avenue W #107, Vancouver, BC",899 sq.ft. Home,"Residential, Condo",1975,2,2,NA
"CA$636,900","9366 Tomicki Avenue #212, Richmond, BC",630 sq.ft. Home,"Residential, Condo",2016,1,1,NA
"CA$770,000","719 Princess Street #1006, New Westminster, BC","1,125 sq.ft. Home","Residential, Condo",1995,2,2,NA
"CA$719,000","298 11th Avenue E #411, Vancouver, BC",685 sq.ft. Home,"Residential, Condo",2008,1,1,NA
"CA$669,900","5488 Arcadia Road #109, Richmond, BC","1,096 sq.ft. Home","Residential, Condo",1990,2,2,NA
"CA$579,900","5700 Andrews Road #124, Richmond, BC",688 sq.ft. Home,"Residential, Condo",2002,1,1,NA
"CA$779,900","7328 Arcola Street #904, Burnaby, BC",865 sq.ft. Home,"Residential, Condo",2009,2,2,NA
"CA$729,900","1234 Merklin Street #303, White Rock, BC","1,335 sq.ft. Home","Residential, Condo",1990,2,2,NA
"CA$959,000","11461 236 Street #21, Maple Ridge, BC","1,681 sq.ft. Home","Residential, Condo",2015,3,2+1,NA
"CA$845,000","625 3rd Street E #202, North Vancouver, BC","1,046 sq.ft. Home","Residential, Condo",2019,2,2,NA
"CA$689,888","4768 53 Street #201, Delta, BC","1,002 sq.ft. Home","Residential, Condo",1995,2,2,NA
"CA$475,800","318 Alderson Avenue #1810, Coquitlam, BC",423 sq.ft. Home,"Residential, Condo",2024,1,1,NA
"CA$859,900","1289 Hornby Street #3503, Vancouver, BC",561 sq.ft. Home,"Residential, Condo",2022,1,1,NA
"CA$889,000","6383 Mckay Avenue #3007, Burnaby, BC",780 sq.ft. Home,"Residential, Condo",2020,2,2,NA
"CA$745,000","8150 207 Street #B215, Langley, BC","1,097 sq.ft. Home","Residential, Condo",2022,3,2,NA
"CA$665,000","777 Richards Street #703, Vancouver, BC",520 sq.ft. Home,"Residential, Condo",2016,1,1,NA
"CA$774,900","9012 Walnut Grove Drive #10, Langley, BC","1,955 sq.ft. Home","Residential, Condo",1992,2+1,2,NA
"CA$524,900","11655 Fraser Street #118, Maple Ridge, BC",700 sq.ft. Home,"Residential, Condo",2024,1,1,NA
"CA$518,000","15220 Guildford Drive #310, Surrey, BC",815 sq.ft. Home,"Residential, Condo",1998,1,1,NA
"CA$615,000","55 Klahanie Drive #200, Port Moody, BC",567 sq.ft. Home,"Residential, Condo",2023,1,1,NA
"CA$724,880","3528 146 A Street #314, Surrey, BC",765 sq.ft. Home,"Residential, Condo",2024,2,2,NA
"CA$549,000","13733 74 Avenue #308, Surrey, BC",896 sq.ft. Home,"Residential, Condo",1996,2,2,NA
"CA$950,000","2345 Madison Avenue #2801, Burnaby, BC","1,154 sq.ft. Home","Residential, Condo",2007,3,2,NA
"CA$885,000","10780 No. 5 Road #911, Richmond, BC",975 sq.ft. Home,"Residential, Condo",2018,2,2,NA
"CA$599,000","38013 Third Avenue #405, Squamish, BC",714 sq.ft. Home,"Residential, Condo",2019,1,1,NA
"CA$714,000","2969 Whisper Way #103, Coquitlam, BC",984 sq.ft. Home,"Residential, Condo",2005,2,2,NA
"CA$468,888","5504 Brydon Crescent #408, Langley, BC",477 sq.ft. Home,"Residential, Condo",2024,1,1,NA
"CA$588,800","4105 Imperial Street #505, Burnaby, BC",790 sq.ft. Home,"Residential, Condo",1976,2,1,NA
"CA$999,000","19255 Aloha Drive #24, Surrey, BC","1,888 sq.ft. Home","Residential, Condo",2021,4,2+1,NA
"CA$699,900","7478 Byrnepark Walk #307, Burnaby, BC",760 sq.ft. Home,"Residential, Condo",2009,2,2,NA
"CA$688,000","1333 Georgia Street W #1504, Vancouver, BC",562 sq.ft. Home,"Residential, Condo",2006,1,1,NA
"CA$574,900","1195 Pipeline Road #310, Coquitlam, BC",812 sq.ft. Home,"Residential, Condo",1984,2,1+1,NA
"CA$524,999","8150 207 Street #C329, Langley, BC",597 sq.ft. Home,"Residential, Condo",2021,1,1,NA
"CA$463,900","11655 Fraser Street #211, Maple Ridge, BC",604 sq.ft. Home,"Residential, Condo",2024,1,1,NA
"CA$569,000","1975 Mccallum Road #212, Abbotsford, BC","1,097 sq.ft. Home","Residential, Condo",2009,3,2,NA
"CA$499,000","SL 2 Otters Close, Duncan, BC",0.84 ac Land,"Residential, Condo",NA,NA,NA,NA
"CA$565,000","13740 75a Avenue #202, Surrey, BC",659 sq.ft. Home,"Residential, Condo",2011,2,1,NA
"CA$715,000","32858 Landeau Place #19, Abbotsford, BC","2,027 sq.ft. Home","Residential, Condo",1979,3,1+2,NA
"CA$599,900","1531 Merklin Street #102, White Rock, BC","1,193 sq.ft. Home","Residential, Condo",1981,2,2,NA
"CA$488,000","240 Sherbrooke Street #3219, New Westminster, BC",555 sq.ft. Home,"Residential, Condo",2008,1,1,NA
"CA$885,000","1055 Riverwood Gate #125, Port Coquitlam, BC","1,269 sq.ft. Home","Residential, Condo",2004,2,2+1,NA
"CA$790,000","10 Laguna Court #707, New Westminster, BC","1,090 sq.ft. Home","Residential, Condo",1996,2,2,NA
"CA$818,000","4638 Gladstone Street #1510, Vancouver, BC",791 sq.ft. Home,"Residential, Condo",2019,2,2,NA
"CA$999,888","1889 Rosser Avenue #TH8, Burnaby, BC","1,030 sq.ft. Home","Residential, Condo",2002,2,1+1,NA
"CA$599,000","308 Alderson Avenue #2810, Coquitlam, BC",510 sq.ft. Home,"Residential, Condo",2024,1,1,NA
"CA$595,999","15160 108 Ave #102, Surrey, BC","1,028 sq.ft. Home","Residential, Condo",1996,2,2,NA
"CA$699,888","15815 85 Avenue #507, Surrey, BC",859 sq.ft. Home,"Residential, Condo",2023,3,2,NA
"CA$599,300","7506 199a Street #413, Langley, BC",730 sq.ft. Home,"Residential, Condo",2023,2,2,NA
"CA$599,999","9983 Barnston Drive E #310, Surrey, BC",953 sq.ft. Home,"Residential, Condo",2019,2,2,NA
"CA$609,800","27358 32 Avenue #260, Langley, BC",967 sq.ft. Home,"Residential, Condo",2021,2,2,NA
"CA$499,000","14968 101a Avenue #124, Surrey, BC",575 sq.ft. Home,"Residential, Condo",2019,1,1,NA
"CA$639,900","19091 Mcmyn Road #317, Pitt Meadows, BC","1,105 sq.ft. Home","Residential, Condo",1998,2,2,NA
"CA$499,888","615 Belmont Street #610, New Westminster, BC",692 sq.ft. Home,"Residential, Condo",1983,1,1,NA
"CA$840,000","15210 Pacific Avenue #216, White Rock, BC","1,313 sq.ft. Home","Residential, Condo",1999,2,2,NA
"CA$599,000","2133 Dundas Street #302, Vancouver, BC",685 sq.ft. Home,"Residential, Condo",1993,1,1,NA
"CA$739,888","15075 60 Avenue #39, Surrey, BC","1,156 sq.ft. Home","Residential, Condo",2004,2,2,NA
"CA$489,900","13615 Fraser Highway #1112, Surrey, BC",496 sq.ft. Home,"Residential, Condo",2021,1,1,NA
"CA$638,800","6500 194 Street #204, Surrey, BC",918 sq.ft. Home,"Residential, Condo",2010,2,2,NA
"CA$998,000","8333 Sweet Avenue #617, Richmond, BC",996 sq.ft. Home,"Residential, Condo",2017,2,2,NA
"CA$498,800","9877 University Crescent #513, Burnaby, BC",756 sq.ft. Home,"Residential, Condo",2016,1,1,NA
"CA$518,000","7788 Ackroyd Road #1015, Richmond, BC",567 sq.ft. Home,"Residential, Condo",2015,1,1,NA
"CA$519,900","7293 Moffatt Road #144, Richmond, BC",949 sq.ft. Home,"Residential, Condo",1983,2,1,NA
"CA$529,000","960 Lynn Valley Road #214, North Vancouver, BC",708 sq.ft. Home,"Residential, Condo",2002,1,1,NA
"CA$729,000","1188 Pinetree Way #909, Coquitlam, BC",834 sq.ft. Home,"Residential, Condo",2015,2,2,NA
"CA$478,000","10778 138 Street #305, Surrey, BC",543 sq.ft. Home,"Residential, Condo",2023,1,1,NA
"CA$599,700","33065 Mill Lake Road #401, Abbotsford, BC","1,235 sq.ft. Home","Residential, Condo",1996,2,2,NA
"CA$719,000","2477 Kelly Avenue #413, Port Coquitlam, BC","1,010 sq.ft. Home","Residential, Condo",2008,2,2,NA
"CA$595,000","9278 120 Street #302, Surrey, BC",933 sq.ft. Home,"Residential, Condo",2003,2,2,NA
"CA$725,000","1515 Chesterfield Avenue #205, North Vancouver, BC","1,120 sq.ft. Home","Residential, Condo",1973,2,1,NA
"CA$899,900","3528 146a Street #104, White Rock, BC","1,223 sq.ft. Home","Residential, Condo",2024,2,2+1,NA
"CA$474,900","9015 120 Street #410, Delta, BC",640 sq.ft. Home,"Residential, Condo",2019,1,1,NA
"CA$604,900","20834 80 Avenue #B106, Langley, BC",738 sq.ft. Home,"Residential, Condo",2023,2,2,NA
"CA$999,000","6683 Prenter Street, Burnaby, BC","1,121 sq.ft. Home","Residential, Condo",2002,3,1+1,NA
"CA$599,000","5138 Hastings Street, Burnaby, BC",827 sq.ft. Home,"Residential, Condo",1987,2,1,NA
"CA$750,000","3008 Glen Drive #2602, Coquitlam, BC",842 sq.ft. Home,"Residential, Condo",2012,2,2,NA
"CA$569,000","318 Alderson Avenue #1105, Coquitlam, BC",520 sq.ft. Home,"Residential, Condo",2024,1,1,NA
"CA$460,000","590 Whiting Way #212, Coquitlam, BC",678 sq.ft. Home,"Residential, Condo",1969,1,1,NA
"CA$999,000","1283 Howe Street #3306, Vancouver, BC",813 sq.ft. Home,"Residential, Condo",2019,2,2,NA
"CA$968,800","7231 Moffatt Road #1, Richmond, BC","1,319 sq.ft. Home","Residential, Condo",1989,3,2+1,NA
"CA$628,000","8150 207 Street #C411, Langley, BC",834 sq.ft. Home,"Residential, Condo",2021,2,2,NA
"CA$488,000","22318 Lougheed Highway #304, Maple Ridge, BC",756 sq.ft. Home,"Residential, Condo",2013,2,2,NA
